Player,G,MP,FG,FGA,FG%,2P,2PA,2P%,FT,FTA,FT%,TRB,AST,PF,PTS,HoF
Ralph Simpson,343.0,18.08,3.31,8.31,0.4,3.31,8.31,0.4,1.34,1.82,0.74,2.0,2.19,1.15,7.97,No
Ralph Wells,3.0,16.0,0.33,2.33,0.14,0.33,2.33,0.14,0.0,2.33,0.0,2.0,2.33,2.0,0.67,No
Randy Denton,45.0,15.56,2.29,5.69,0.4,2.29,5.69,0.4,0.73,1.04,0.7,4.84,0.73,2.22,5.31,No
Randy Smith,650.0,35.58,7.65,16.21,0.47,7.65,16.21,0.47,3.39,4.41,0.77,4.46,5.09,2.92,18.68,No
Ray Corley,136.0,0.48,1.56,5.13,0.3,1.56,5.13,0.3,1.03,1.75,0.59,1.17,1.72,1.49,4.15,No
Ray Ellefson,3.0,0.0,0.0,1.33,0.0,0.0,1.33,0.0,1.33,1.33,1.0,2.67,0.0,2.0,1.33,No
Ray Epps,13.0,5.54,0.77,1.77,0.43,0.77,1.77,0.43,0.46,0.62,0.75,0.38,0.15,0.54,2.0,No
Ray Felix,684.0,23.49,3.72,9.06,0.41,3.72,9.06,0.41,3.26,4.82,0.68,8.76,0.71,3.8,10.7,No
Ray Lumpp,294.0,14.15,2.73,7.31,0.37,2.73,7.31,0.37,2.06,2.72,0.76,1.81,2.26,2.71,7.53,No
Ray Radziszewski,1.0,6.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,No
Ray Ragelis,51.0,6.61,0.49,1.88,0.26,0.49,1.88,0.26,0.35,0.57,0.62,1.49,0.61,1.22,1.33,No
Ray Scott,756.0,31.46,5.77,14.27,0.4,5.77,14.27,0.4,3.48,4.84,0.72,10.47,2.35,2.98,15.02,No
Ray Williams,162.0,24.2,5.43,12.01,0.45,5.43,12.01,0.45,2.45,3.21,0.76,3.09,5.35,2.99,13.31,No
Raymond Townsend,65.0,11.86,1.95,4.45,0.44,1.95,4.45,0.44,0.77,1.05,0.74,0.85,1.4,1.08,4.68,No
Red Davis,3.0,5.33,0.0,2.0,0.0,0.0,2.0,0.0,0.67,0.67,1.0,1.33,0.33,0.67,0.67,No
Red Holzman,298.0,7.07,2.03,6.48,0.31,2.03,6.48,0.31,1.38,1.96,0.7,1.15,1.92,1.29,5.44,Yes
Red Kerr,905.0,30.7,5.42,12.98,0.42,5.42,12.98,0.42,2.94,4.07,0.72,11.15,2.21,2.53,13.79,No
Red Morrison,155.0,14.3,1.41,3.55,0.4,1.41,3.55,0.4,0.77,1.34,0.57,5.3,0.87,2.54,3.58,No
Red Owens,180.0,6.96,1.88,6.0,0.31,1.88,6.0,0.31,1.47,2.39,0.61,1.13,1.52,2.71,5.22,No
Red Rocha,480.0,21.89,3.79,10.09,0.38,3.79,10.09,0.38,3.13,4.09,0.77,5.72,1.99,3.44,10.71,No
Reggie Harding,205.0,26.97,3.83,9.27,0.41,3.83,9.27,0.41,1.31,2.16,0.61,9.1,1.67,2.81,8.97,No
Reggie Theus,82.0,33.57,6.55,13.65,0.48,6.55,13.65,0.48,3.22,4.23,0.76,2.78,5.23,3.29,16.32,No
Rex Morgan,62.0,6.71,0.92,2.45,0.38,0.92,2.45,0.38,0.94,1.37,0.68,1.47,0.63,1.48,2.77,No
Rich Eichhorst,1.0,10.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,1.0,3.0,1.0,2.0,No
Rich Johnson,97.0,11.07,2.06,4.56,0.45,2.06,4.56,0.45,0.59,0.96,0.61,2.73,0.4,2.04,4.71,No
Rich Jones,34.0,25.79,3.94,10.24,0.39,3.94,10.24,0.39,2.71,3.56,0.76,5.71,1.35,3.21,10.59,No
Rich Kelley,313.0,24.52,3.55,7.15,0.5,3.55,7.15,0.5,2.92,3.67,0.79,9.27,2.81,3.37,10.02,No
Rich Laurel,10.0,5.7,1.0,3.1,0.32,1.0,3.1,0.32,0.4,0.4,1.0,1.0,0.3,1.0,2.4,No
Rich Niemann,74.0,7.59,1.22,2.93,0.41,1.22,2.93,0.41,0.54,0.7,0.77,2.78,0.46,1.78,2.97,No
Rich Rinaldi,79.0,10.8,2.04,5.19,0.39,2.04,5.19,0.39,0.9,1.24,0.72,1.18,0.92,0.91,4.97,No
Richard Washington,178.0,26.16,4.97,11.04,0.45,4.97,11.04,0.45,1.89,2.63,0.72,7.87,1.18,3.81,11.84,No
Richie Guerin,928.0,32.13,5.95,14.33,0.42,5.95,14.33,0.42,5.04,6.44,0.78,4.89,4.94,3.28,16.95,Yes
Richie Niemiera,120.0,0.0,1.83,5.83,0.31,1.83,5.83,0.31,1.73,2.32,0.75,0.0,1.93,1.28,5.4,No
Richie Regan,215.0,25.55,3.25,9.44,0.34,3.25,9.44,0.34,1.8,2.51,0.72,2.58,2.93,2.47,8.3,No
Rick Adelman,520.0,22.12,2.89,6.96,0.42,2.89,6.96,0.42,1.71,2.4,0.71,2.35,3.3,2.1,7.5,No
Rick Barry,722.0,37.41,9.59,21.32,0.45,9.59,21.32,0.45,5.09,5.66,0.9,6.83,5.19,2.88,24.28,Yes
Rick Roberson,423.0,24.48,3.51,7.96,0.44,3.51,7.96,0.44,2.03,3.48,0.59,8.33,1.4,3.09,9.04,No
Rick Robey,158.0,22.32,4.08,8.52,0.48,4.08,8.52,0.48,2.2,2.84,0.78,6.49,1.67,2.94,10.35,No
Rick Weitzman,25.0,3.0,0.48,1.84,0.26,0.48,1.84,0.26,0.36,0.52,0.69,0.4,0.32,0.32,1.32,No
Rick Wilson,61.0,9.66,1.33,3.23,0.41,1.33,3.23,0.41,0.39,0.72,0.55,1.25,1.18,1.08,3.05,No
Rickey Green,103.0,14.84,2.04,5.36,0.38,2.04,5.36,0.38,0.96,1.52,0.63,1.51,2.06,1.28,5.04,No
Ricky Marsh,60.0,14.18,2.05,4.82,0.43,2.05,4.82,0.43,0.38,0.55,0.7,1.25,1.5,1.85,4.48,No
Ricky Sobers,317.0,30.75,5.68,12.21,0.46,5.68,12.21,0.46,3.25,3.85,0.84,3.54,4.69,3.58,14.6,No
Robert Hahn,10.0,0.0,0.4,1.3,0.31,0.4,1.3,0.31,0.2,0.7,0.29,0.0,0.1,1.7,1.0,No
Robert Parish,235.0,24.53,5.41,11.04,0.49,5.41,11.04,0.49,2.05,3.05,0.67,9.1,1.21,3.48,12.88,Yes
Robert Reid,162.0,25.36,3.97,8.34,0.48,3.97,8.34,0.48,1.2,1.74,0.69,5.2,2.17,3.57,9.14,No
Robert Smith,127.0,14.62,1.84,4.2,0.44,1.84,4.2,0.44,1.42,1.61,0.88,1.43,1.94,1.71,5.1,No
Robin Jones,75.0,15.08,2.0,4.25,0.47,2.0,4.25,0.47,0.93,1.59,0.59,4.13,1.09,1.87,4.93,No
Rod Derline,107.0,9.39,2.01,4.79,0.42,2.01,4.79,0.42,0.82,1.05,0.79,0.8,0.66,0.64,4.84,No
Rod Freeman,35.0,7.57,1.11,2.94,0.38,1.11,2.94,0.38,0.8,1.17,0.68,1.54,0.4,1.2,3.03,No
Rod Knowles,8.0,5.0,0.5,1.75,0.29,0.5,1.75,0.29,0.12,0.38,0.33,1.12,0.0,1.25,1.12,No
Rod Thorn,539.0,22.48,4.17,9.66,0.43,4.17,9.66,0.43,2.42,3.35,0.72,3.1,2.52,1.72,10.75,Yes
Roger Brown,73.0,10.7,0.68,1.75,0.39,0.68,1.75,0.39,0.45,0.64,0.7,3.01,0.33,1.99,1.82,No
Roger Phegley,29.0,5.28,0.97,2.69,0.36,0.97,2.69,0.36,0.83,1.0,0.83,0.76,0.52,0.72,2.76,No
Roger Strickland,1.0,4.0,1.0,3.0,0.33,1.0,3.0,0.33,0.0,0.0,0.0,0.0,0.0,1.0,2.0,No
Roland West,4.0,3.5,0.5,1.25,0.4,0.5,1.25,0.4,0.0,0.0,0.0,1.25,0.0,0.75,1.0,No
Rollen Hans,80.0,21.68,2.76,7.28,0.38,2.76,7.28,0.38,1.42,2.56,0.56,2.2,2.59,2.4,6.95,No
Rollie Seltz,34.0,0.0,2.74,9.09,0.3,2.74,9.09,0.3,2.35,3.06,0.77,0.0,1.88,2.12,7.82,No
Ron Behagen,477.0,22.99,4.11,9.63,0.43,4.11,9.63,0.43,2.04,2.73,0.75,6.82,1.52,3.31,10.25,No
Ron Bonham,76.0,8.96,2.2,5.62,0.39,2.2,5.62,0.39,1.89,2.28,0.83,1.49,0.39,0.82,6.29,No
Ron Boone,246.0,29.5,6.38,13.89,0.46,6.38,13.89,0.46,2.99,3.52,0.85,2.99,3.26,2.69,15.75,No
Ron Brewer,81.0,30.3,5.36,10.84,0.49,5.36,10.84,0.49,2.59,3.16,0.82,2.83,2.04,2.23,13.31,No
Ron Carter,46.0,7.22,1.17,2.7,0.44,1.17,2.7,0.44,0.78,1.17,0.67,0.98,0.54,1.17,3.13,No
Ron Davis,7.0,9.57,1.14,5.0,0.23,1.14,5.0,0.23,0.57,1.86,0.31,1.0,0.29,1.29,2.86,No
Ron Feiereisel,10.0,5.9,0.8,2.8,0.29,0.8,2.8,0.29,1.4,1.6,0.87,0.6,0.6,0.9,3.0,No
Ron Filipek,19.0,3.84,0.95,2.47,0.38,0.95,2.47,0.38,0.37,0.74,0.5,1.32,0.37,0.63,2.26,No
Ron Horn,31.0,10.13,0.9,3.03,0.3,0.9,3.03,0.3,0.68,1.0,0.68,2.48,0.35,1.61,2.48,No
