Player,G,MP,FG,FGA,FG%,2P,2PA,2P%,FT,FTA,FT%,TRB,AST,PF,PTS,HoF
Frank Kendrick,24.0,5.04,1.29,3.21,0.4,1.29,3.21,0.4,0.75,0.92,0.82,1.5,0.25,0.92,3.33,No
Frank Kudelka,326.0,8.33,2.61,7.87,0.33,2.61,7.87,0.33,1.66,2.37,0.7,1.87,2.04,3.25,6.89,No
Frank Oleynick,102.0,11.43,2.04,5.28,0.39,2.04,5.28,0.39,0.9,1.27,0.71,0.88,1.11,1.08,4.98,No
Frank Radovich,37.0,4.73,1.0,2.51,0.4,1.0,2.51,0.4,0.35,0.7,0.5,1.38,0.11,0.73,2.35,No
Frank Ramsey,623.0,24.61,4.73,11.85,0.4,4.73,11.85,0.4,3.98,4.95,0.8,5.47,1.82,3.46,13.45,Yes
Frank Reddout,7.0,2.57,0.71,0.86,0.83,0.71,0.86,0.83,0.43,0.57,0.75,1.29,0.0,0.86,1.86,No
Frank Russell,23.0,5.7,1.26,3.35,0.38,1.26,3.35,0.38,0.7,0.78,0.89,0.74,0.65,0.52,3.22,No
Frank Schade,9.0,8.44,0.22,0.78,0.29,0.22,0.78,0.29,0.67,0.67,1.0,0.67,1.11,1.33,1.11,No
Frank Selvy,665.0,25.03,3.72,9.52,0.39,3.72,9.52,0.39,2.82,3.89,0.73,3.55,2.59,2.08,10.25,No
Frankie Brian,438.0,17.39,4.03,11.85,0.34,4.03,11.85,0.34,4.22,5.14,0.82,2.06,2.6,2.57,12.28,No
Frankie Sanders,92.0,10.41,2.28,5.35,0.43,2.28,5.35,0.43,1.17,1.48,0.79,2.39,1.13,1.5,5.74,No
Fred Brown,572.0,28.65,7.12,15.05,0.47,7.12,15.05,0.47,2.38,2.76,0.86,3.51,3.63,2.42,16.63,No
Fred Carter,751.0,28.83,6.09,14.3,0.43,6.09,14.3,0.43,2.25,3.28,0.69,3.76,3.27,2.81,14.42,No
Fred Christ,6.0,8.0,0.83,3.0,0.28,0.83,3.0,0.28,1.67,1.83,0.91,1.33,1.17,0.5,3.33,No
Fred Diute,7.0,10.29,0.29,3.0,0.1,0.29,3.0,0.1,1.0,1.71,0.58,1.86,0.57,1.71,1.57,No
Fred Foster,591.0,16.96,3.13,7.57,0.41,3.13,7.57,0.41,1.29,1.79,0.72,2.41,1.12,1.9,7.55,No
Fred Hetzel,500.0,22.32,4.49,10.59,0.42,4.49,10.59,0.42,2.76,3.36,0.82,6.11,1.15,2.79,11.74,No
Fred Hilton,120.0,17.33,4.17,10.74,0.39,4.17,10.74,0.39,1.09,1.46,0.75,2.12,1.58,2.04,9.43,No
Fred LaCour,144.0,16.67,2.65,6.28,0.42,2.65,6.28,0.42,1.24,1.6,0.77,3.29,1.87,1.86,6.53,No
Fred Saunders,266.0,13.32,2.2,5.01,0.44,2.2,5.01,0.44,0.6,0.87,0.69,2.76,1.02,2.17,5.0,No
Fred Schaus,401.0,20.33,3.76,10.58,0.36,3.76,10.58,0.36,3.82,4.67,0.82,4.68,2.67,3.26,11.33,No
Fred Scolari,509.0,17.08,3.92,11.75,0.33,3.92,11.75,0.33,3.7,4.43,0.83,2.09,3.3,2.78,11.54,No
Fred Taylor,122.0,9.16,1.49,4.25,0.35,1.49,4.25,0.35,0.89,1.55,0.57,1.59,0.71,1.58,3.87,No
Freddie Boyd,363.0,22.98,3.41,8.23,0.41,3.41,8.23,0.41,1.33,2.02,0.66,1.56,2.94,1.96,8.16,No
Freddie Crawford,417.0,16.5,2.8,6.36,0.44,2.8,6.36,0.44,1.26,2.14,0.59,2.51,1.99,2.25,6.85,No
Freddie Lewis,132.0,6.71,1.77,5.45,0.32,1.77,5.45,0.32,1.07,1.38,0.77,0.69,1.11,1.42,4.6,No
Freeman Williams,72.0,16.6,4.65,9.49,0.49,4.65,9.49,0.49,1.06,1.36,0.78,1.36,1.15,1.22,10.36,No
Gail Goodrich,1031.0,32.52,7.21,15.81,0.46,7.21,15.81,0.46,4.19,5.19,0.81,3.18,4.66,2.69,18.6,Yes
Gar Heard,794.0,26.24,4.12,9.82,0.42,4.12,9.82,0.42,1.6,2.49,0.64,8.15,1.58,2.81,9.83,No
Garfield Smith,63.0,6.59,1.11,2.89,0.38,1.11,2.89,0.38,0.44,1.38,0.32,2.1,0.27,1.19,2.67,No
Gary Alcorn,78.0,10.82,1.32,4.51,0.29,1.32,4.51,0.29,0.71,1.18,0.6,4.22,0.31,2.18,3.35,No
Gary Bergen,6.0,6.67,0.5,1.83,0.27,0.5,1.83,0.27,0.33,0.33,1.0,1.33,0.17,0.67,1.33,No
Gary Bradds,44.0,7.95,1.09,2.66,0.41,1.09,2.66,0.41,1.09,1.52,0.72,2.09,0.45,0.84,3.27,No
Gary Brokaw,321.0,19.35,3.03,6.87,0.44,3.03,6.87,0.44,1.96,2.72,0.72,1.65,2.94,2.03,8.02,No
Gary Freeman,104.0,7.35,1.33,2.58,0.51,1.33,2.58,0.51,0.56,0.77,0.72,2.04,0.67,1.29,3.21,No
Gary Gray,44.0,6.27,1.11,3.05,0.37,1.11,3.05,0.37,0.16,0.23,0.7,0.52,0.59,1.09,2.39,No
Gary Gregor,296.0,24.99,4.31,10.01,0.43,4.31,10.01,0.43,1.19,1.66,0.71,6.98,1.47,2.49,9.81,No
Gary Hill,91.0,13.42,1.82,5.01,0.36,1.82,5.01,0.36,0.71,1.15,0.62,1.6,1.29,2.05,4.36,No
Gary Melchionni,137.0,20.29,3.17,7.14,0.44,3.17,7.14,0.44,1.5,1.81,0.83,2.4,2.18,1.47,7.84,No
Gary Phillips,348.0,19.92,2.66,7.18,0.37,2.66,7.18,0.37,1.34,2.13,0.63,2.59,1.91,2.36,6.66,No
Gary Suiter,30.0,4.67,0.63,1.8,0.35,0.63,1.8,0.35,0.13,0.3,0.44,1.37,0.07,0.67,1.4,No
Gary Zeller,78.0,8.94,1.5,4.41,0.34,1.5,4.41,0.34,0.47,0.81,0.59,1.18,0.47,1.35,3.47,No
Gene Berce,3.0,0.0,1.67,5.33,0.31,1.67,5.33,0.31,0.0,1.67,0.0,0.0,0.67,2.0,3.33,No
Gene Conley,351.0,16.5,2.37,6.39,0.37,2.37,6.39,0.37,1.15,1.75,0.66,6.3,0.57,3.2,5.89,No
Gene Dyker,11.0,8.27,0.55,2.36,0.23,0.55,2.36,0.23,0.36,0.73,0.5,1.45,0.45,1.91,1.45,No
Gene Englund,92.0,0.0,2.26,5.96,0.38,2.26,5.96,0.38,3.3,4.17,0.79,0.0,0.89,3.63,7.83,No
Gene Guarilia,129.0,8.39,1.3,3.47,0.38,1.3,3.47,0.38,0.6,0.98,0.61,2.28,0.28,1.13,3.2,No
Gene James,125.0,0.0,1.42,4.27,0.33,1.42,4.27,0.33,0.82,1.38,0.59,2.26,1.28,2.31,3.65,No
Gene Ollrich,14.0,0.0,1.21,5.14,0.24,1.21,5.14,0.24,0.71,1.0,0.71,0.0,1.71,2.43,3.14,No
Gene Rhodes,65.0,17.88,1.68,5.26,0.32,1.68,5.26,0.32,1.83,2.6,0.7,1.51,1.4,1.2,5.18,No
Gene Short,68.0,6.53,0.94,2.68,0.35,0.94,2.68,0.35,0.59,0.94,0.62,1.41,0.29,1.06,2.47,No
Gene Shue,761.0,31.91,5.01,12.7,0.39,5.01,12.7,0.39,3.54,4.4,0.8,3.95,3.54,1.93,13.57,No
Gene Stump,98.0,0.0,1.29,4.35,0.3,1.29,4.35,0.3,0.76,1.1,0.69,0.0,0.9,1.2,3.33,No
Gene Tormohlen,271.0,11.89,1.9,4.62,0.41,1.9,4.62,0.41,0.59,1.03,0.58,4.14,0.95,2.03,4.39,No
Gene Vance,71.0,1.66,2.3,6.55,0.35,2.3,6.55,0.35,2.0,2.83,0.71,1.54,2.63,3.68,6.59,No
Gene Wiley,300.0,21.29,1.84,3.91,0.47,1.84,3.91,0.47,0.56,1.1,0.51,7.31,0.84,2.7,4.24,No
Geoff Crompton,20.0,4.4,0.5,1.3,0.38,0.5,1.3,0.38,0.3,0.6,0.5,1.15,0.25,0.95,1.3,No
Geoff Petrie,446.0,37.64,8.9,19.55,0.46,8.9,19.55,0.46,4.02,4.99,0.81,2.85,4.61,2.41,21.82,No
George Blaney,36.0,10.08,1.5,3.94,0.38,1.5,3.94,0.38,0.25,0.47,0.53,1.0,1.25,0.94,3.25,No
George Bon Salle,3.0,3.0,0.67,2.67,0.25,0.67,2.67,0.25,0.0,0.0,0.0,0.67,0.0,0.0,1.33,No
George Brown,1.0,6.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,0.5,1.0,0.0,1.0,1.0,No
George Carter,1.0,5.0,1.0,2.0,0.5,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,3.0,No
George Dempsey,372.0,17.24,1.84,4.48,0.41,1.84,4.48,0.41,1.27,1.88,0.68,3.45,2.09,1.87,4.94,No
George Feigenbaum,17.0,4.65,1.06,4.65,0.23,1.06,4.65,0.23,0.94,1.94,0.48,0.41,1.12,1.71,3.06,No
George Gervin,244.0,34.63,10.4,19.24,0.54,10.4,19.24,0.54,5.81,7.0,0.83,5.22,3.11,3.34,26.61,Yes
George Johnson,737.0,19.67,2.26,5.04,0.45,2.26,5.04,0.45,0.93,1.36,0.68,6.86,1.0,2.95,5.45,No
George Kaftan,191.0,6.99,2.46,6.65,0.37,2.46,6.65,0.37,1.83,2.8,0.66,2.22,1.77,1.88,6.75,No
George Karl,33.0,8.52,0.82,2.39,0.34,0.82,2.39,0.34,0.94,1.33,0.7,0.67,1.55,1.27,2.58,No
George King,411.0,32.62,3.69,9.66,0.38,3.69,9.66,0.38,2.88,4.49,0.64,3.91,4.76,2.54,10.27,No
George Lee,297.0,17.37,2.49,6.58,0.38,2.49,6.58,0.38,2.52,3.44,0.73,4.16,0.87,1.7,7.51,No
George Lehmann,66.0,9.62,1.29,3.62,0.36,1.29,3.62,0.36,0.65,0.83,0.78,0.8,1.82,1.09,3.23,No
George McGinnis,310.0,34.84,8.05,17.85,0.45,8.05,17.85,0.45,5.7,8.15,0.7,11.46,3.99,4.0,21.81,Yes
George McLeod,10.0,8.5,0.2,1.6,0.12,0.2,1.6,0.12,0.8,1.5,0.53,2.1,0.4,1.6,1.2,No
George Mikan,379.0,22.03,7.81,19.47,0.4,7.81,19.47,0.4,6.69,8.54,0.78,10.99,2.71,4.23,22.32,Yes
George Nostrand,110.0,0.0,1.42,4.64,0.31,1.42,4.64,0.31,1.02,1.8,0.57,0.0,0.53,2.15,3.85,No
George Patterson,59.0,9.47,0.75,2.25,0.33,0.75,2.25,0.33,0.54,0.64,0.84,2.69,0.86,1.44,2.03,No
George Ratkovicz,414.0,19.56,2.92,7.99,0.37,2.92,7.99,0.37,3.39,5.0,0.68,5.94,2.43,3.71,9.22,No
George Reynolds,10.0,4.4,0.8,1.9,0.42,0.8,1.9,0.42,0.5,0.7,0.71,1.4,1.2,1.0,2.1,No
George Senesky,317.0,15.87,2.65,7.79,0.34,2.65,7.79,0.34,1.91,2.69,0.71,2.77,3.89,2.13,7.22,No
George Thompson,73.0,27.16,4.19,9.47,0.44,4.19,9.47,0.44,2.3,2.93,0.79,2.48,3.08,2.78,10.68,No
George Trapp,379.0,18.11,3.74,8.41,0.44,3.74,8.41,0.44,1.37,1.82,0.75,3.87,0.99,2.73,8.85,No
George Wilson,544.0,15.05,2.2,5.81,0.38,2.2,5.81,0.38,1.37,2.04,0.67,5.65,0.79,2.25,5.77,No
George Yardley,533.0,33.03,6.83,16.16,0.42,6.83,16.16,0.42,5.62,7.21,0.78,8.73,1.65,2.97,19.27,Yes
Gerry Calabrese,104.0,9.01,1.72,4.94,0.35,1.72,4.94,0.35,1.29,1.84,0.7,1.43,1.42,1.8,4.73,No
Gerry Ward,169.0,12.12,1.2,3.36,0.36,1.2,3.36,0.36,0.82,1.28,0.64,1.74,1.4,2.15,3.21,No
Gil McGregor,42.0,12.67,1.57,4.33,0.36,1.57,4.33,0.36,0.93,1.33,0.7,3.52,0.43,2.86,4.07,No
Glen Gondrezick,147.0,17.82,1.99,4.52,0.44,1.99,4.52,0.44,0.94,1.48,0.63,4.59,1.29,2.77,4.91,No
Glen Selbo,13.0,0.0,0.77,3.92,0.2,0.77,3.92,0.2,1.69,2.23,0.76,0.0,1.77,1.15,3.23,No
Glenn Hansen,117.0,12.48,2.05,5.03,0.41,2.05,5.03,0.41,0.92,1.27,0.72,2.12,0.8,1.66,5.03,No
Glenn McDonald,146.0,10.23,1.84,4.6,0.4,1.84,4.6,0.4,0.49,0.66,0.73,1.47,0.68,1.32,4.17,No
Glenn Mosley,32.0,7.56,1.12,2.75,0.41,1.12,2.75,0.41,0.81,1.41,0.58,2.16,0.66,1.25,3.06,No
Goo Kennedy,32.0,8.66,0.97,1.81,0.53,0.97,1.81,0.53,0.09,0.25,0.38,1.59,0.19,1.41,2.03,No
Grady O'Malley,24.0,4.71,0.88,2.5,0.35,0.88,2.5,0.35,0.33,0.79,0.42,1.08,0.42,0.5,2.08,No
Greg Ballard,158.0,15.75,2.54,5.65,0.45,2.54,5.65,0.45,1.31,1.81,0.72,4.53,1.13,1.63,6.4,No
Greg Bunch,12.0,8.08,0.75,2.17,0.35,0.75,2.17,0.35,0.83,1.0,0.83,1.42,0.33,0.83,2.33,No
Greg Fillmore,49.0,6.9,1.06,2.63,0.4,1.06,2.63,0.4,0.29,0.61,0.47,2.2,0.41,1.98,2.41,No
Greg Griffin,36.0,11.72,1.69,4.69,0.36,1.69,4.69,0.36,0.64,1.0,0.64,2.86,0.67,1.56,4.03,No
Greg Howard,92.0,9.26,1.28,3.3,0.39,1.28,3.3,0.39,0.83,1.18,0.7,2.47,0.58,1.27,3.39,No
Greg Hyder,77.0,17.65,2.38,5.31,0.45,2.38,5.31,0.45,0.66,0.92,0.72,4.31,0.62,2.43,5.42,No
Greg Jackson,98.0,16.37,1.49,3.59,0.41,1.49,3.59,0.41,0.73,1.27,0.58,1.41,1.96,2.65,3.71,No
Greg Lee,5.0,7.0,0.4,0.8,0.5,0.4,0.8,0.5,0.4,0.4,1.0,0.4,2.2,1.2,1.2,No
Greg Smith,682.0,23.66,3.34,6.98,0.48,3.34,6.98,0.48,1.19,1.85,0.64,6.03,1.93,2.98,7.87,No
Gus Bailey,127.0,9.18,1.1,2.75,0.4,1.1,2.75,0.4,0.56,1.07,0.52,1.7,1.12,1.04,2.76,No
Gus Gerard,360.0,13.35,2.53,5.79,0.44,2.53,5.79,0.44,1.13,1.76,0.64,2.64,0.92,1.93,6.18,No
Gus Johnson,581.0,34.66,7.1,16.15,0.44,7.1,16.15,0.44,2.91,4.17,0.7,12.7,2.65,3.51,17.12,Yes
Gus Williams,314.0,27.06,6.04,13.1,0.46,6.04,13.1,0.46,2.41,3.11,0.77,2.84,3.61,2.3,14.5,No
Guy Rodgers,971.0,31.11,4.4,11.67,0.38,4.4,11.67,0.38,2.34,3.23,0.72,4.06,7.51,2.88,11.14,Yes
Guy Sparrow,217.0,15.78,2.72,7.81,0.35,2.72,7.81,0.35,1.49,2.49,0.6,4.48,0.96,2.62,6.93,No
Hal Greer,1122.0,35.46,7.58,16.77,0.45,7.58,16.77,0.45,4.08,5.1,0.8,5.05,4.05,3.44,19.24,Yes
Hal Lear,3.0,4.67,0.67,2.0,0.33,0.67,2.0,0.33,0.0,0.0,0.0,0.33,0.33,1.0,1.33,No
Hal Uplinger,23.0,11.65,1.43,4.09,0.35,1.43,4.09,0.35,0.87,0.96,0.91,1.35,1.13,1.83,3.74,No
Hank DeZonie,5.0,0.0,1.2,5.0,0.24,1.2,5.0,0.24,1.0,1.4,0.71,3.6,1.8,1.2,3.4,No
Hank Finkel,551.0,12.46,2.04,4.55,0.45,2.04,4.55,0.45,0.98,1.48,0.66,3.9,0.77,1.98,5.06,No
Happy Hairston,920.0,31.82,5.66,11.77,0.48,5.66,11.77,0.48,4.04,5.45,0.74,10.23,1.61,3.0,15.35,No
Harold Fox,10.0,8.4,1.2,3.2,0.37,1.2,3.2,0.37,0.7,0.8,0.87,0.8,1.0,0.7,3.1,No
Harry Barnes,22.0,5.73,0.82,2.91,0.28,0.82,2.91,0.28,0.32,0.59,0.54,1.18,0.23,1.14,1.95,No
Harry Boykoff,157.0,0.0,3.44,8.73,0.39,3.44,8.73,0.39,2.24,2.94,0.76,2.8,1.71,3.97,9.11,No
Harry Davis,40.0,9.85,1.65,3.82,0.43,1.65,3.82,0.43,0.75,1.08,0.7,1.65,0.4,1.65,4.05,No
Harry Donovan,45.0,0.0,2.0,6.11,0.33,2.0,6.11,0.33,1.62,2.36,0.69,0.0,0.84,2.38,5.62,No
Harry Gallatin,630.0,25.1,4.21,10.44,0.4,4.21,10.44,0.4,4.93,6.35,0.78,10.61,1.82,3.11,13.35,Yes
Harthorne Wingo,212.0,13.27,1.87,4.07,0.46,1.87,4.07,0.46,1.09,1.55,0.7,3.51,0.6,1.74,4.83,No
Harvey Catchings,340.0,16.96,1.41,3.24,0.44,1.41,3.24,0.44,0.77,1.11,0.69,5.18,0.72,2.54,3.59,No
Harvey Marlatt,61.0,12.23,1.43,3.82,0.37,1.43,3.82,0.37,0.84,0.98,0.85,1.41,1.54,1.51,3.69,No
Henry Akin,86.0,8.28,1.5,4.27,0.35,1.5,4.27,0.35,0.53,0.79,0.68,2.06,0.45,1.51,3.53,No
Henry Bibby,595.0,23.07,3.45,8.0,0.43,3.45,8.0,0.43,2.15,2.75,0.78,2.41,3.25,2.14,9.04,No
Henry Dickerson,23.0,7.61,0.65,1.78,0.37,0.65,1.78,0.37,0.65,1.04,0.62,0.22,0.83,1.3,1.96,No
Henry Ward,27.0,6.33,1.26,3.33,0.38,1.26,3.33,0.38,0.56,0.63,0.88,1.22,0.22,1.11,3.07,No
Herb Scherer,32.0,5.22,1.34,4.66,0.29,1.34,4.66,0.29,0.91,1.53,0.59,2.38,0.72,2.53,3.59,No
Herb White,38.0,8.29,0.89,2.21,0.4,0.89,2.21,0.4,0.58,1.03,0.56,1.26,1.24,1.63,2.37,No
Herm Gilliam,578.0,26.0,4.66,10.59,0.44,4.66,10.59,0.44,1.49,1.88,0.79,3.76,3.85,2.63,10.82,No
Herm Hedderick,5.0,4.6,0.4,1.8,0.22,0.4,1.8,0.22,0.0,0.2,0.0,0.8,0.4,0.6,0.8,No
Herm Schaefer,65.0,0.0,1.88,4.83,0.39,1.88,4.83,0.39,1.32,1.55,0.85,0.0,3.12,1.6,5.08,No
Hook Dillon,22.0,0.0,0.45,2.5,0.18,0.45,2.5,0.18,0.73,1.0,0.73,0.0,0.23,0.86,1.64,No
Hoot Gibson,64.0,0.0,2.09,6.09,0.34,2.09,6.09,0.34,1.31,2.0,0.66,0.0,1.16,3.31,5.5,No
Horace Walker,65.0,20.48,2.29,6.75,0.34,2.29,6.75,0.34,2.15,2.97,0.73,7.17,1.06,2.98,6.74,No
Hot Rod Hundley,431.0,22.16,3.21,9.23,0.35,3.21,9.23,0.35,2.0,2.77,0.72,3.29,3.38,1.82,8.41,No
Howard Komives,827.0,27.54,4.05,10.43,0.39,4.05,10.43,0.39,2.2,2.66,0.83,2.54,4.04,2.81,10.3,No
Howard Porter,578.0,19.07,4.06,8.6,0.47,4.06,8.6,0.47,1.26,1.57,0.8,4.16,0.47,1.81,9.39,No
Howie Carl,31.0,12.32,2.16,6.48,0.33,2.16,6.48,0.33,1.16,1.65,0.71,1.26,1.84,1.32,5.48,No
Howie Janotta,9.0,0.0,1.0,3.33,0.3,1.0,3.33,0.3,1.44,1.78,0.81,0.0,0.44,1.11,3.44,No
Howie Jolliff,138.0,12.6,1.2,3.25,0.37,1.2,3.25,0.37,0.42,0.8,0.53,4.25,0.81,2.01,2.81,No
Howie Montgomery,20.0,18.2,3.25,7.65,0.42,3.25,7.65,0.42,0.7,1.15,0.61,3.45,1.05,1.75,7.2,No
Howie Schultz,240.0,7.4,1.96,7.28,0.27,1.96,7.28,0.27,2.19,3.1,0.7,1.36,1.95,3.16,6.11,No
Howie Shannon,67.0,0.0,3.31,9.64,0.34,3.31,9.64,0.34,2.13,2.72,0.79,0.0,2.6,2.21,8.76,No
Hub Reed,550.0,17.62,2.46,5.6,0.44,2.46,5.6,0.44,1.07,1.48,0.72,5.57,0.79,2.85,5.99,No
Hubie White,52.0,8.98,1.37,4.15,0.33,1.37,4.15,0.33,0.56,0.88,0.63,1.48,0.77,1.44,3.29,No
Ike Borsavage,24.0,0.0,1.08,3.08,0.35,1.08,3.08,0.35,0.5,0.75,0.67,1.0,0.17,1.42,2.67,No
Ira Terrell,176.0,18.27,2.63,5.35,0.49,2.63,5.35,0.49,1.03,1.6,0.64,3.86,1.05,2.07,6.29,No
Irv Bemoras,131.0,18.92,2.36,6.79,0.35,2.36,6.79,0.35,1.6,2.37,0.67,2.6,0.95,1.74,6.31,No
Isaac Walthour,4.0,7.5,0.25,1.5,0.17,0.25,1.5,0.17,0.0,0.0,0.0,0.25,0.5,1.5,0.5,No
Isaiah Wilson,48.0,6.71,1.31,3.69,0.36,1.31,3.69,0.36,0.85,1.17,0.73,0.98,0.85,0.67,3.48,No
Jack Burmaster,61.0,0.0,3.89,11.66,0.33,3.89,11.66,0.33,2.03,2.98,0.68,0.0,2.93,3.89,9.8,No
Jack Coleman,708.0,27.14,4.52,10.89,0.42,4.52,10.89,0.42,1.8,2.58,0.7,8.3,2.89,3.06,10.84,No
Jack Cotton,54.0,0.0,1.8,6.15,0.29,1.8,6.15,0.29,1.52,2.98,0.51,0.0,1.2,3.41,5.11,No
Jack Foley,22.0,7.55,1.82,4.64,0.39,1.82,4.64,0.39,1.18,1.36,0.87,1.45,0.45,0.73,4.82,No
Jack George,577.0,30.75,3.7,10.23,0.36,3.7,10.23,0.36,2.61,3.68,0.71,4.2,4.14,2.41,10.0,No
Jack Givens,74.0,18.2,3.16,7.62,0.41,3.16,7.62,0.41,1.38,1.82,0.76,2.89,1.12,1.64,7.7,No
Jack Kerris,408.0,12.25,2.31,6.48,0.36,2.31,6.48,0.36,2.28,3.48,0.66,3.88,2.31,2.94,6.9,No
Jack Kiley,53.0,9.51,0.87,3.83,0.23,0.87,3.83,0.23,0.6,1.06,0.57,0.96,1.23,1.15,2.34,No
Jack Marin,1002.0,28.22,5.75,12.39,0.46,5.75,12.39,0.46,2.71,3.21,0.84,4.88,2.12,2.79,14.22,No
Jack McCloskey,1.0,16.0,3.0,9.0,0.33,3.0,9.0,0.33,0.0,0.0,0.0,3.0,1.0,2.0,6.0,No
Jack McMahon,594.0,26.84,3.06,9.1,0.34,3.06,9.1,0.34,1.88,2.97,0.63,2.64,3.64,2.78,8.0,No
Jack Molinas,32.0,29.94,3.56,9.12,0.39,3.56,9.12,0.39,4.44,5.84,0.76,7.12,1.59,2.59,11.56,No
Jack Nichols,613.0,20.08,3.82,10.57,0.36,3.82,10.57,0.36,2.46,3.26,0.75,4.56,1.88,2.88,10.1,No
Jack Parkinson,4.0,0.0,0.25,3.0,0.08,0.25,3.0,0.08,0.25,0.25,1.0,0.0,0.5,0.75,0.75,No
Jack Parr,66.0,15.71,1.65,4.65,0.36,1.65,4.65,0.36,0.67,1.11,0.6,4.21,0.77,2.09,3.97,No
Jack Phelan,110.0,0.0,1.58,4.87,0.32,1.58,4.87,0.32,0.95,1.64,0.58,0.0,1.04,2.75,4.11,No
Jack Sikma,164.0,31.68,4.99,10.89,0.46,4.99,10.89,0.46,3.18,3.97,0.8,10.31,2.41,3.63,13.15,Yes
Jack Smiley,118.0,0.0,1.66,6.17,0.27,1.66,6.17,0.27,2.31,3.41,0.68,0.0,2.73,3.27,5.63,No
Jack Stephens,72.0,30.82,3.44,8.93,0.39,3.44,8.93,0.39,3.43,4.96,0.69,5.24,2.88,2.0,10.32,No
Jack Toomay,62.0,0.0,3.29,8.29,0.4,3.29,8.29,0.4,3.0,4.26,0.7,0.0,1.52,3.44,9.58,No
Jack Turner,107.0,13.92,1.82,4.94,0.37,1.82,4.94,0.37,0.86,1.1,0.78,2.23,1.13,1.19,4.5,No
Jack Twyman,823.0,31.77,7.58,16.86,0.45,7.58,16.86,0.45,4.09,5.26,0.78,6.59,2.26,3.38,19.25,Yes
Jackie Dinkins,18.0,4.94,0.94,2.28,0.41,0.94,2.28,0.41,0.61,1.11,0.55,1.11,0.39,0.56,2.5,No
Jackie Moore,134.0,8.79,1.02,2.61,0.39,1.02,2.61,0.39,0.68,1.09,0.62,2.52,0.5,1.62,2.72,No
Jackie Moreland,348.0,17.96,2.99,7.24,0.41,2.99,7.24,0.41,1.72,2.43,0.71,5.11,1.24,2.87,7.71,No
Jackie Ridgle,32.0,3.34,0.59,1.38,0.43,0.59,1.38,0.43,0.59,0.81,0.73,0.47,0.22,0.47,1.78,No
Jackie Robinson,12.0,8.75,1.58,3.42,0.46,1.58,3.42,0.46,0.67,1.25,0.53,1.58,1.08,0.75,3.83,No
Jacky Dorsey,42.0,6.76,1.14,2.5,0.46,1.14,2.5,0.46,0.67,1.14,0.58,1.98,0.29,1.4,2.95,No
Jake Bornheimer,60.0,0.0,1.47,5.08,0.29,1.47,5.08,0.29,1.3,1.95,0.67,0.0,0.67,1.85,4.23,No
Jake Carter,48.0,0.0,0.96,3.12,0.31,0.96,3.12,0.31,1.5,2.21,0.68,0.0,1.0,2.46,3.42,No
Jake Fendley,103.0,10.01,0.83,2.43,0.34,0.83,2.43,0.34,1.12,1.5,0.74,1.22,0.91,1.94,2.79,No
Jake Ford,31.0,8.03,1.35,2.94,0.46,1.35,2.94,0.46,1.35,1.77,0.76,0.65,1.13,1.03,4.06,No
Jake Jones,34.0,11.88,1.65,4.24,0.39,1.65,4.24,0.39,1.18,1.82,0.65,1.53,0.71,1.29,4.47,No
Jamaal Wilkes,373.0,32.75,6.89,14.71,0.47,6.89,14.71,0.47,2.71,3.57,0.76,7.93,2.6,2.96,16.49,Yes
James Edwards,248.0,29.66,6.15,13.11,0.47,6.15,13.11,0.47,3.4,5.17,0.66,7.75,1.06,4.06,15.69,No
James Hardy,68.0,21.41,2.88,6.26,0.46,2.88,6.26,0.46,0.9,1.29,0.69,4.56,0.96,1.96,6.66,No
James Phelan,4.0,8.25,0.0,1.5,0.0,0.0,1.5,0.0,0.75,1.5,0.5,1.25,0.5,2.25,0.75,No
James Silas,138.0,20.57,4.13,8.41,0.49,4.13,8.41,0.49,3.49,4.22,0.83,1.72,2.62,2.03,11.75,No
Jan van Breda Kolff,220.0,26.43,2.61,6.02,0.43,2.61,6.02,0.43,1.95,2.43,0.8,4.94,1.83,2.87,7.16,No
Jay Arnette,114.0,10.32,1.43,3.92,0.36,1.43,3.92,0.36,0.86,1.13,0.76,1.02,1.22,2.04,3.72,No
Jay Carty,28.0,6.86,1.21,3.18,0.38,1.21,3.18,0.38,0.29,0.39,0.73,2.07,0.39,1.11,2.71,No
Jay Miller,11.0,7.18,0.91,3.73,0.24,0.91,3.73,0.24,0.82,1.27,0.64,0.82,0.09,1.36,2.64,No
Jeff Halliburton,147.0,12.67,2.76,6.29,0.44,2.76,6.29,0.44,1.14,1.4,0.81,1.72,1.44,1.8,6.65,No
Jeff Judkins,81.0,18.78,3.64,7.25,0.5,3.64,7.25,0.5,1.47,1.8,0.82,2.36,1.79,2.27,8.75,No
Jeff Mullins,804.0,30.56,6.7,14.47,0.46,6.7,14.47,0.46,2.8,3.44,0.81,4.26,3.76,2.69,16.19,No
Jeff Slade,3.0,6.67,0.67,1.67,0.4,0.67,1.67,0.4,0.0,0.33,0.0,2.33,0.0,1.0,1.33,No
Jeff Webb,121.0,6.41,0.88,2.3,0.38,0.88,2.3,0.38,0.36,0.5,0.7,0.78,0.54,0.75,2.12,No
Jerome Anderson,49.0,5.92,1.04,2.12,0.49,1.04,2.12,0.49,0.51,0.73,0.69,0.51,0.33,1.04,2.59,No
